category,evaluation_type,alpha,sparse_score,dense_score,hybrid_score,context_recall,context_precision
형사B(일반형),sparse,1.0,0.6111980069917018,0.0,0.6111980069917018,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.38559237122535706,0.38559237122535706,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.591421975213394,0.5142791867256165,0.5528505809695052,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.591421975213394,0.0,0.591421975213394,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.5142791867256165,0.5142791867256165,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.5705894763407922,0.42144209146499634,0.49601578390289425,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.5705894763407922,0.0,0.5705894763407922,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.42144209146499634,0.42144209146499634,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.6021127936352694,0.5338239669799805,0.567968380307625,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.6021127936352694,0.0,0.6021127936352694,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.5338239669799805,0.5338239669799805,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.5731669680394633,0.4220206141471863,0.4975937910933248,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.5731669680394633,0.0,0.5731669680394633,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.4220206141471863,0.4220206141471863,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.5759163631897039,0.4326797425746918,0.5042980528821979,1.0,0.9999999999833333
형사B(일반형),sparse,1.0,0.5759163631897039,0.0,0.5759163631897039,1.0,0.9999999999833333
형사B(일반형),dense,0.0,0.0,0.4326797425746918,0.4326797425746918,1.0,0.9999999999833333
형사B(일반형),hybrid,0.5,0.5772042556031416,0.3695196211338043,0.47336193836847296,1.0,0.9821428571288265
형사B(일반형),sparse,1.0,0.5772042556031416,0.0,0.5772042556031416,1.0,0.8736394557698323
형사B(일반형),dense,0.0,0.0,0.3695196211338043,0.3695196211338043,1.0,0.9999999999857143
형사B(일반형),hybrid,0.5,0.5912156725815588,0.45194011926651,0.5215778959240345,1.0,0.999999999975
형사B(일반형),sparse,1.0,0.5912156725815588,0.0,0.5912156725815588,1.0,0.999999999975
형사B(일반형),dense,0.0,0.0,0.45194011926651,0.45194011926651,1.0,0.999999999975
형사B(일반형),hybrid,0.5,0.6057889771442275,0.5935929417610168,0.5996909594526222,1.0,0.9999999999833333
형사B(일반형),sparse,1.0,0.6057889771442275,0.0,0.6057889771442275,1.0,0.9761904761742063
형사B(일반형),dense,0.0,0.0,0.5935929417610168,0.5935929417610168,1.0,0.9999999999833333
형사B(일반형),hybrid,0.5,0.5823426403455729,0.540412962436676,0.5613778013911245,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.5823426403455729,0.0,0.5823426403455729,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.540412962436676,0.540412962436676,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.556884331989783,0.3921429216861725,0.47451362683797776,1.0,0.9617346938638119
형사B(일반형),sparse,1.0,0.556884331989783,0.0,0.556884331989783,1.0,0.9093537414836077
형사B(일반형),dense,0.0,0.0,0.3921429216861725,0.3921429216861725,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.5879067225663968,0.4709654748439789,0.5294360987051878,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.5879067225663968,0.0,0.5879067225663968,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.4709654748439789,0.4709654748439789,1.0,0.9999999999875
형사B(일반형),hybrid,0.5,0.5798809673129983,0.3811247944831848,0.48050288089809157,1.0,0.9999999999875
형사B(일반형),sparse,1.0,0.5798809673129983,0.0,0.5798809673129983,1.0,0.9999999999875
형사B(일반형),dense,0.0,0.0,0.3811247944831848,0.3811247944831848,1.0,0.9617346938638119
