category,evaluation_type,alpha,sparse_score,dense_score,hybrid_score,context_recall,context_precision,f1_score
형사,hybrid,0.5,0.5396004403678906,0.5534110069274902,0.5465057236476905,0.0,0.0,0.0
형사,hybrid,0.6,0.5396004403678906,0.5534110069274902,0.5451246669917305,0.0,0.0,0.0
형사,hybrid,0.7,0.5396004403678906,0.5534110069274902,0.5437436103357705,0.0,0.0,0.0
형사,sparse,1.0,0.5396004403678906,0.0,0.5396004403678906,0.0,0.0,0.0
형사,dense,0.0,0.0,0.5534110069274902,0.5534110069274902,0.0,0.0,0.0
형사,hybrid,0.3,0.5779939834407524,0.6196564435958862,0.607157705549346,0.0,0.0,0.0
형사,hybrid,0.4,0.5779939834407524,0.6196564435958862,0.6029914595338327,0.0,0.0,0.0
형사,hybrid,0.5,0.5779939834407524,0.6196564435958862,0.5988252135183193,0.0,0.0,0.0
형사,hybrid,0.6,0.5779939834407524,0.6196564435958862,0.5946589675028059,0.0,0.0,0.0
형사,hybrid,0.7,0.5779939834407524,0.6196564435958862,0.5904927214872925,0.0,0.0,0.0
형사,sparse,1.0,0.5779939834407524,0.0,0.5779939834407524,0.0,0.0,0.0
형사,dense,0.0,0.0,0.6196564435958862,0.6196564435958862,0.0,0.0,0.0
형사,hybrid,0.3,0.6471128151520484,0.6176761388778687,0.6265071417601226,0.0,0.0,0.0
형사,hybrid,0.4,0.6471128151520484,0.6176761388778687,0.6294508093875406,0.0,0.0,0.0
형사,hybrid,0.5,0.6471128151520484,0.6176761388778687,0.6323944770149585,0.0,0.0,0.0
형사,hybrid,0.6,0.6471128151520484,0.6176761388778687,0.6353381446423765,0.0,0.0,0.0
형사,hybrid,0.7,0.6471128151520484,0.6176761388778687,0.6382818122697945,0.0,0.0,0.0
형사,sparse,1.0,0.6471128151520484,0.0,0.6471128151520484,0.0,0.0,0.0
형사,dense,0.0,0.0,0.6176761388778687,0.6176761388778687,0.0,0.0,0.0
형사,hybrid,0.3,0.5942808897729281,0.6026005148887634,0.6001046273540128,0.0,0.0,0.0
형사,hybrid,0.4,0.5942808897729281,0.6026005148887634,0.5992726648424294,0.0,0.0,0.0
형사,hybrid,0.5,0.5942808897729281,0.6026005148887634,0.5984407023308458,0.0,0.0,0.0
형사,hybrid,0.6,0.5942808897729281,0.6026005148887634,0.5976087398192622,0.0,0.0,0.0
