category,evaluation_type,alpha,sparse_score,dense_score,hybrid_score,context_recall,context_precision
형사,hybrid,0.5,0.5643517194836174,0.5575788021087646,0.560965260796191,0.6,0.999999999975
형사,hybrid,0.6,0.5643517194836174,0.5575788021087646,0.5616425525336763,0.8,0.999999999975
형사,hybrid,0.7,0.5643517194836174,0.5575788021087646,0.5623198442711616,0.8,0.999999999975
형사,sparse,1.0,0.5643517194836174,0.0,0.5643517194836174,0.8,0.999999999975
형사,dense,0.0,0.0,0.5575788021087646,0.5575788021087646,0.8,0.999999999975
형사,hybrid,0.3,0.5674615273328386,0.5153611898422241,0.5309912910894085,1.0,0.999999999975
형사,hybrid,0.4,0.5674615273328386,0.5153611898422241,0.5362013248384699,1.0,0.999999999975
형사,hybrid,0.5,0.5674615273328386,0.5153611898422241,0.5414113585875313,1.0,0.999999999975
형사,hybrid,0.6,0.5674615273328386,0.5153611898422241,0.5466213923365928,1.0,0.999999999975
형사,hybrid,0.7,0.5674615273328386,0.5153611898422241,0.5518314260856543,1.0,0.999999999975
형사,sparse,1.0,0.5674615273328386,0.0,0.5674615273328386,1.0,0.999999999975
형사,dense,0.0,0.0,0.5153611898422241,0.5153611898422241,1.0,0.999999999975
형사,hybrid,0.3,0.564110970870081,0.5534110069274902,0.5566209961102674,1.0,0.999999999975
형사,hybrid,0.4,0.564110970870081,0.5534110069274902,0.5576909925045266,1.0,0.999999999975
형사,hybrid,0.5,0.564110970870081,0.5534110069274902,0.5587609888987857,1.0,0.999999999975
형사,hybrid,0.6,0.564110970870081,0.5534110069274902,0.5598309852930448,1.0,0.999999999975
형사,hybrid,0.7,0.564110970870081,0.5534110069274902,0.5609009816873037,1.0,0.999999999975
형사,sparse,1.0,0.564110970870081,0.0,0.564110970870081,1.0,0.999999999975
형사,dense,0.0,0.0,0.5534110069274902,0.5534110069274902,1.0,0.999999999975
형사,hybrid,0.3,0.5961743083688393,0.6196564435958862,0.6126118030277722,1.0,0.999999999975
형사,hybrid,0.4,0.5961743083688393,0.6196564435958862,0.6102635895050674,1.0,0.999999999975
형사,hybrid,0.5,0.5961743083688393,0.6196564435958862,0.6079153759823628,1.0,0.999999999975
형사,hybrid,0.6,0.5961743083688393,0.6196564435958862,0.6055671624596581,1.0,0.999999999975
형사,hybrid,0.7,0.5961743083688393,0.6196564435958862,0.6032189489369534,1.0,0.999999999975
형사,sparse,1.0,0.5961743083688393,0.0,0.5961743083688393,1.0,0.999999999975
형사,dense,0.0,0.0,0.6196564435958862,0.6196564435958862,1.0,0.999999999975
형사,hybrid,0.3,0.640263073629765,0.6176761388778687,0.6244522193034375,0.75,0.999999999975
형사,hybrid,0.4,0.640263073629765,0.6176761388778687,0.6267109127786272,0.75,0.999999999975
